order_form_service_id,category,level,description,value
1,# of Buildings 1,1,1 to 8 bldgs,0
1,# of Buildings 1,2,9 to 14 bldgs,10
1,# of Buildings 1,3,15 to 20 bldgs,RFP
1,# of Buildings 1,4,20+ bldgs,RFP
1,# of Buildings 2,1,1,0
1,# of Buildings 2,2,2 bldgs,5
1,# of Buildings 2,3,3 to 5 bldgs,10
1,# of Buildings 2,4,6 to 9 bldgs,RFP
1,# of Buildings 2,5,10+ bldgs,RFP
1,# of Stories,1,0 to 10 stories,0
1,# of Stories,2,11 to 15 stories,RFP
1,# of Stories,3,16+ stories,RFP
1,International,1,US,0
1,International,2,CA,RFP
1,Limit of Liability,1,"Less than or equal to 249,999",0
1,Limit of Liability,2,"Between 250,000 and 999,999; inclusive of 250,000",2.5
1,Limit of Liability,3,"Between 1,000,000 and 4,999,999; inclusive of 1,000,000",5
1,Limit of Liability,4,"5,000,000 or greater; inclusive of 5,000,000",7.5
1,Portfolio Size,1,1 to 3,0
1,Portfolio Size,2,4 to 9,-2
1,Portfolio Size,3,10 to 39,-5
1,Portfolio Size,4,40 to 69,-7
1,Portfolio Size,5,70 to 99,-9
1,Portfolio Size,6,100+,-12
1,Prior Report,1,None,0.00
1,Prior Report,2,External < 2 years,-2.50
1,Prior Report,3,Internal < 10 years,-5.00
1,Prior Report,4,Internal < 2 years,-10.00
1,Prior Report,5,Internal < 6 months,-15.00
1,Site Complexity,1,Simple,-5
1,Site Complexity,2,Average,0
1,Site Complexity,3,Complicated,20
1,Site Complexity,4,Difficult,RFP
1,Size,1,XS: Applied to certain Primary Property Types,-10
1,Size,2,"S: Building SF <= 50,000",0
1,Size,3,"M: Building SF <= 100,000",5
1,Size,4,"L:Building SF <= 250,000",7
1,Size,5,"XL:Building SF <= 500,000",RFP
1,Size,6,"2XL:Building SF <= 1,000,000",RFP
1,Size,7,"3XL: Building SF > 1,000,000",RFP
1,Time Period,1,Adjust depending on Partner's busy level,35
1,Travel Difficulty,1,< 60 minute drive,0
1,Travel Difficulty,2,1-3 hour drive,7
1,Travel Difficulty,3,3-5 hour drive,15
1,Travel Difficulty,4,5+ hour drive,20
1,Travel Difficulty,5,Easy flight,25
1,Travel Difficulty,6,Hard flight,RFP
1,Travel Difficulty,7,Super remote,RFP
1,Turnaround Time,1,1 day,RFP
1,Turnaround Time,10,10 days,20
1,Turnaround Time,11,11 days,10
1,Turnaround Time,12,12 days,10
1,Turnaround Time,13,13 days,0
1,Turnaround Time,14,14 days,0
1,Turnaround Time,15,15 days,0
1,Turnaround Time,16,16 days,0
1,Turnaround Time,17,17 days,-5
1,Turnaround Time,18,18 days,-5
1,Turnaround Time,19,19 days,-5
1,Turnaround Time,2,2 days,RFP
1,Turnaround Time,20,20 days,-5
1,Turnaround Time,3,3 days,RFP
1,Turnaround Time,4,4 days,RFP
1,Turnaround Time,5,5 days,RFP
1,Turnaround Time,6,6 days,RFP
1,Turnaround Time,7,7 days,RFP
1,Turnaround Time,8,8 days,RFP
1,Turnaround Time,9,9 days,RFP
1,Unit Inspection,1,1 to 20 units,0
1,Unit Inspection,2,21 to 40 units,15
1,Unit Inspection,3,41 to 60 units,25
1,Unit Inspection,4,61 to 80 units,RFP
1,Unit Inspection,5,81 to 100 units,RFP
2,# of Buildings 1,1,1 to 5 bldgs,0
2,# of Buildings 1,2,6 to 18 bldgs,7
2,# of Buildings 1,3,19 to 35 bldgs,15
2,# of Buildings 1,4,36+ bldgs,RFP
2,# of Buildings 2,1,1,0
2,# of Buildings 2,2,2 bldgs,2
2,# of Buildings 2,3,3 to 5 bldgs,4
2,# of Buildings 2,4,6 to 9 bldgs,6
2,# of Buildings 2,5,10+ bldgs,RFP
2,# of Stories,1,0 to 10 stories,0
2,# of Stories,2,11 to 15 stories,4
2,# of Stories,3,16+ stories,RFP
2,International,1,US,0
2,International,2,CA,RFP
2,Limit of Liability,1,"Less than or equal to 249,999",0
2,Limit of Liability,2,"Between 250,000 and 999,999; inclusive of 250,000",2.5
2,Limit of Liability,3,"Between 1,000,000 and 4,999,999; inclusive of 1,000,000",5
2,Limit of Liability,4,"5,000,000 or greater; inclusive of 5,000,000",7.5
2,Portfolio Size,1,1 to 3,0
2,Portfolio Size,2,4 to 9,-2
2,Portfolio Size,3,10 to 39,-5
2,Portfolio Size,4,40 to 69,-7
2,Portfolio Size,5,70 to 99,-9
2,Portfolio Size,6,100+,-12
2,Prior Report,1,None,0.00
2,Prior Report,2,External < 2 years,-2.50
2,Prior Report,3,Internal < 10 years,-5.00
2,Prior Report,4,Internal < 2 years,-10.00
2,Prior Report,5,Internal < 6 months,-15.00
2,Site Complexity,1,Simple,-5
2,Site Complexity,2,Average,0
2,Site Complexity,3,Complicated,10
2,Site Complexity,4,Difficult,RFP
2,Size,1,XS: Applied to certain Primary Property Types,-10
2,Size,2,S: Land Ac <= 4,0
2,Size,3,M: Land Ac <= 8,5
2,Size,4,L: Land Ac <= 12,7
2,Size,5,XL: Land Ac <= 20,RFP
2,Size,6,2XL: Land Ac <= 50,RFP
2,Size,7,3XL: Land Ac > 50,RFP
2,Time Period,1,Adjust depending on Partner's busy level,10
2,Travel Difficulty,1,< 60 minute drive,0
2,Travel Difficulty,2,1-3 hour drive,5
2,Travel Difficulty,3,3-5 hour drive,10
2,Travel Difficulty,4,5+ hour drive,20
2,Travel Difficulty,5,Easy flight,25
2,Travel Difficulty,6,Hard flight,RFP
2,Travel Difficulty,7,Super remote,RFP
2,Turnaround Time,1,1 day,RFP
2,Turnaround Time,10,10 days,20
2,Turnaround Time,11,11 days,10
2,Turnaround Time,12,12 days,10
2,Turnaround Time,13,13 days,0
2,Turnaround Time,14,14 days,0
2,Turnaround Time,15,15 days,0
2,Turnaround Time,16,16 days,0
2,Turnaround Time,17,17 days,-5
2,Turnaround Time,18,18 days,-5
2,Turnaround Time,19,19 days,-5
2,Turnaround Time,2,2 days,RFP
2,Turnaround Time,20,20 days,-5
2,Turnaround Time,3,3 days,RFP
2,Turnaround Time,4,4 days,RFP
2,Turnaround Time,5,5 days,RFP
2,Turnaround Time,6,6 days,RFP
2,Turnaround Time,7,7 days,RFP
2,Turnaround Time,8,8 days,RFP
2,Turnaround Time,9,9 days,RFP
2,Unit Inspection,1,1 to 20 units,0
2,Unit Inspection,2,21 to 40 units,10
2,Unit Inspection,3,41 to 60 units,20
2,Unit Inspection,4,61 to 80 units,RFP
2,Unit Inspection,5,81 to 100 units,RFP
3,# of Buildings,1,1 to 2,0
3,# of Buildings,2,3 to 5,5
3,# of Buildings,3,6+,10
3,# of Stories,1,1 to 3,0
3,# of Stories,2,4 to 10,0
3,# of Stories,3,11+,2
3,International,1,US,0
3,International,2,CA,20
3,Limit of Liability,1,Less than or equal to 250000,5
3,Limit of Liability,2,Between 250000 and 1000000,10
3,Limit of Liability,3,Between 1000000 and 5000000,15
3,Limit of Liability,4,5000000 or greater,25
3,Portfolio Size,1,1 to 5,0
3,Portfolio Size,2,6 to 10,5
3,Portfolio Size,3,11 to 20,10
3,Portfolio Size,4,21+,15
3,Prior Report,1,Internal < 6 months,-20
3,Prior Report,2,Internal < 2 years,-10
3,Prior Report,3,Internal < 10 years,0
3,Prior Report,4,External < 2 years,5
3,Site Complexity,1,Simple,0
3,Site Complexity,2,Average,15
3,Site Complexity,3,Complicated,30
3,Site Complexity,4,Difficult,50
3,Size,L,Building SF <= 250000,3
3,Size,M,Building SF <= 100000,2
3,Size,S,Building SF <= 30000,0
3,Size,XL,Building SF > 250000,5
3,Size,XS,Building SF <= 10000,0
3,Time Period,1,Busy Level,5
3,Travel Difficulty,1,Easy,0
3,Travel Difficulty,2,Moderate,10
3,Travel Difficulty,3,Difficult,20
3,Travel Difficulty,4,Remote,30
3,Turnaround Time,1,Less than or equal to 5 days,25
3,Turnaround Time,2,Less than or equal to 10 days,15
3,Turnaround Time,3,Less than or equal to 15 days,8
3,Turnaround Time,4,Greater than or equal to 20 days,0
4,# of Buildings 1,1,1 to 8 bldgs,0
4,# of Buildings 1,2,9 to 14 bldgs,10
4,# of Buildings 1,3,15 to 20 bldgs,RFP
4,# of Buildings 1,4,20+ bldgs,RFP
4,# of Buildings 2,1,1,0
4,# of Buildings 2,2,2 bldgs,2
4,# of Buildings 2,3,3 to 5 bldgs,4
4,# of Buildings 2,4,6 to 9 bldgs,6
4,# of Buildings 2,5,10+ bldgs,RFP
4,# of Stories,1,0 to 10 stories,0
4,# of Stories,2,11 to 15 stories,4
4,# of Stories,3,16+ stories,RFP
4,International,1,US,0
4,International,2,CA,RFP
4,Limit of Liability,1,"Less than or equal to 249,999",0
4,Limit of Liability,2,"Between 250,000 and 999,999; inclusive of 250,000",2.5
4,Limit of Liability,3,"Between 1,000,000 and 4,999,999; inclusive of 1,000,000",5
4,Limit of Liability,4,"5,000,000 or greater; inclusive of 5,000,000",7.5
4,Portfolio Size,1,1 to 3,0
4,Portfolio Size,2,4 to 9,-2
4,Portfolio Size,3,10 to 39,-5
4,Portfolio Size,4,40 to 69,-7
4,Portfolio Size,5,70 to 99,-9
4,Portfolio Size,6,100+,-12
4,Prior Report,1,None,0.00
4,Prior Report,2,External < 2 years,-2.50
4,Prior Report,3,Internal < 10 years,-5.00
4,Prior Report,4,Internal < 2 years,-10.00
4,Prior Report,5,Internal < 6 months,-15.00
4,Site Complexity,1,Simple,-5
4,Site Complexity,2,Average,0
4,Site Complexity,3,Complicated,20
4,Site Complexity,4,Difficult,RFP
4,Size,1,XS: Applied to certain Primary Property Types,-10
4,Size,2,"S: Building SF <= 50,000",0
4,Size,3,"M: Building SF <= 100,000",5
4,Size,4,"L:Building SF <= 250,000",7
4,Size,5,"XL:Building SF <= 500,000",RFP
4,Size,6,"2XL:Building SF <= 1,000,000",RFP
4,Size,7,"3XL: Building SF > 1,000,000",RFP
4,Time Period,1,Adjust depending on Partner's busy level,15
4,Travel Difficulty,1,< 60 minute drive,0
4,Travel Difficulty,2,1-3 hour drive,7
4,Travel Difficulty,3,3-5 hour drive,15
4,Travel Difficulty,4,5+ hour drive,20
4,Travel Difficulty,5,Easy flight,25
4,Travel Difficulty,6,Hard flight,RFP
4,Travel Difficulty,7,Super remote,RFP
4,Turnaround Time,1,1 day,RFP
4,Turnaround Time,10,10 days,20
4,Turnaround Time,11,11 days,10
4,Turnaround Time,12,12 days,10
4,Turnaround Time,13,13 days,0
4,Turnaround Time,14,14 days,0
4,Turnaround Time,15,15 days,0
4,Turnaround Time,16,16 days,0
4,Turnaround Time,17,17 days,-5
4,Turnaround Time,18,18 days,-5
4,Turnaround Time,19,19 days,-5
4,Turnaround Time,2,2 days,RFP
4,Turnaround Time,20,20 days,-5
4,Turnaround Time,3,3 days,RFP
4,Turnaround Time,4,4 days,RFP
4,Turnaround Time,5,5 days,RFP
4,Turnaround Time,6,6 days,RFP
4,Turnaround Time,7,7 days,RFP
4,Turnaround Time,8,8 days,RFP
4,Turnaround Time,9,9 days,RFP
4,Unit Inspection,1,1 to 20 units,0
4,Unit Inspection,2,21 to 40 units,10
4,Unit Inspection,3,41 to 60 units,20
4,Unit Inspection,4,61 to 80 units,RFP
4,Unit Inspection,5,81 to 100 units,RFP
